,between_days,Data
1243,2014-05-28,
1244,2014-05-29,
1245,2014-05-30,
1246,2014-05-31,
1461,2015-01-01,
1462,2015-01-02,
1463,2015-01-03,
1464,2015-01-04,
1465,2015-01-05,
1466,2015-01-06,
1467,2015-01-07,
1468,2015-01-08,
1469,2015-01-09,
1470,2015-01-10,
1471,2015-01-11,
1472,2015-01-12,
1473,2015-01-13,
1474,2015-01-14,
1475,2015-01-15,
1476,2015-01-16,
1477,2015-01-17,
1478,2015-01-18,
1479,2015-01-19,
1480,2015-01-20,
1481,2015-01-21,
1482,2015-01-22,
1483,2015-01-23,
1484,2015-01-24,
1485,2015-01-25,
1486,2015-01-26,
1487,2015-01-27,
1488,2015-01-28,
1489,2015-01-29,
1490,2015-01-30,
1491,2015-01-31,
1492,2015-02-01,
1493,2015-02-02,
1494,2015-02-03,
1495,2015-02-04,
1496,2015-02-05,
1497,2015-02-06,
1498,2015-02-07,
1499,2015-02-08,
1500,2015-02-09,
1501,2015-02-10,
1502,2015-02-11,
1503,2015-02-12,
1504,2015-02-13,
1505,2015-02-14,
1506,2015-02-15,
1507,2015-02-16,
1508,2015-02-17,acoustic
1509,2015-02-18,acoustic
1510,2015-02-19,acoustic
1511,2015-02-20,acoustic
1512,2015-02-21,acoustic
1513,2015-02-22,acoustic
1514,2015-02-23,acoustic
1515,2015-02-24,acoustic
1516,2015-02-25,acoustic
1517,2015-02-26,acoustic
1518,2015-02-27,acoustic
1519,2015-02-28,acoustic
1520,2015-03-01,acoustic
1521,2015-03-02,acoustic
1522,2015-03-03,acoustic
1523,2015-03-04,acoustic
1524,2015-03-05,acoustic
1525,2015-03-06,acoustic
1526,2015-03-07,acoustic
1527,2015-03-08,acoustic
1528,2015-03-09,acoustic
1529,2015-03-10,acoustic
1530,2015-03-11,acoustic
1531,2015-03-12,acoustic
1532,2015-03-13,acoustic
1533,2015-03-14,acoustic
1534,2015-03-15,acoustic
1535,2015-03-16,acoustic
1536,2015-03-17,acoustic
1492,2015-02-01,prey
1493,2015-02-02,prey
1494,2015-02-03,prey
1495,2015-02-04,prey
1496,2015-02-05,prey
1497,2015-02-06,prey
1498,2015-02-07,prey
1499,2015-02-08,prey
1500,2015-02-09,prey
1501,2015-02-10,prey
1502,2015-02-11,prey
1503,2015-02-12,prey
1504,2015-02-13,prey
1505,2015-02-14,prey
1506,2015-02-15,prey
1507,2015-02-16,prey
1508,2015-02-17,prey
1509,2015-02-18,prey
1510,2015-02-19,prey
1511,2015-02-20,prey
1512,2015-02-21,prey
1513,2015-02-22,prey
1514,2015-02-23,prey
1515,2015-02-24,prey
1516,2015-02-25,prey
1517,2015-02-26,prey
1518,2015-02-27,prey
1519,2015-02-28,prey
1520,2015-03-01,prey
1521,2015-03-02,prey
1522,2015-03-03,prey
1523,2015-03-04,prey
1524,2015-03-05,prey
1525,2015-03-06,prey
1526,2015-03-07,prey
1527,2015-03-08,prey
1528,2015-03-09,prey
1529,2015-03-10,prey
1530,2015-03-11,prey
1531,2015-03-12,prey
1532,2015-03-13,prey
1533,2015-03-14,prey
1534,2015-03-15,prey
1535,2015-03-16,prey
1536,2015-03-17,prey
1537,2015-03-18,acoustic
1538,2015-03-19,acoustic
1539,2015-03-20,acoustic
1540,2015-03-21,acoustic
1541,2015-03-22,acoustic
1542,2015-03-23,acoustic
1543,2015-03-24,acoustic
1544,2015-03-25,acoustic
