between_days,acoustic,whale,zooplankton,overlap
2013-04-02,acoustic,,,False
2013-04-03,acoustic,,,False
2013-04-04,acoustic,whale,,False
2013-04-05,acoustic,,,False
2013-04-06,acoustic,,,False
2013-04-07,acoustic,,,False
2013-04-08,acoustic,whale,zooplankton,True
2013-04-09,acoustic,,,False
2013-04-10,acoustic,whale,,False
2013-04-11,acoustic,,,False
2013-04-12,acoustic,,,False
2013-04-13,acoustic,,,False
2013-04-14,acoustic,,,False
2013-04-15,acoustic,whale,zooplankton,True
2013-04-16,acoustic,,,False
2013-04-17,acoustic,whale,,False
2013-04-18,acoustic,,,False
2013-04-19,acoustic,,,False
2013-04-20,acoustic,,,False
2013-04-21,acoustic,whale,,False
2013-04-22,acoustic,,,False
2013-04-23,acoustic,,,False
2013-04-24,acoustic,,,False
2013-04-25,acoustic,,,False
2013-04-26,acoustic,whale,zooplankton,True
2013-04-27,acoustic,,,False
2013-04-28,acoustic,,,False
2013-04-29,acoustic,whale,zooplankton,True
2013-04-30,acoustic,,,False
2013-05-01,acoustic,whale,zooplankton,True
2013-05-02,acoustic,,,False
2013-05-03,acoustic,,,False
2013-05-04,acoustic,,,False
2013-05-05,acoustic,whale,zooplankton,True
2013-05-06,acoustic,,,False
2014-02-07,acoustic,,,False
2014-02-08,acoustic,,,False
2014-02-09,acoustic,,,False
2014-02-10,acoustic,,,False
2014-02-11,acoustic,,,False
2014-02-12,acoustic,,,False
2014-02-13,acoustic,,,False
2014-02-14,acoustic,,,False
2014-02-15,acoustic,,,False
2014-02-16,acoustic,,,False
2014-02-17,acoustic,,,False
2014-02-18,acoustic,,,False
2014-02-19,acoustic,,,False
2014-02-20,acoustic,,,False
2014-02-21,acoustic,,,False
2014-02-22,acoustic,,,False
2014-02-23,acoustic,,,False
2014-02-24,acoustic,,,False
2014-02-25,acoustic,,,False
2014-02-26,acoustic,,,False
2014-02-27,acoustic,,,False
2014-02-28,acoustic,,,False
2014-03-01,acoustic,whale,,False
2014-03-02,acoustic,,,False
2014-03-03,acoustic,,,False
2014-03-04,acoustic,whale,zooplankton,True
2014-03-05,acoustic,,,False
2014-03-06,acoustic,,,False
2014-03-07,acoustic,,,False
2014-03-08,acoustic,,,False
2014-03-09,acoustic,,,False
2014-03-10,acoustic,,,False
2014-03-11,acoustic,,,False
2014-03-12,acoustic,,,False
2014-03-13,acoustic,,,False
2014-03-14,acoustic,,,False
2014-03-15,acoustic,,,False
2014-03-16,acoustic,,,False
2014-03-17,acoustic,whale,,False
2014-03-18,acoustic,whale,,False
2014-03-19,acoustic,,,False
2014-03-20,acoustic,,,False
2014-03-21,acoustic,,,False
2014-03-22,acoustic,,,False
2014-03-23,acoustic,whale,,False
2014-03-24,acoustic,,,False
2014-03-25,acoustic,whale,zooplankton,True
2014-03-26,acoustic,,,False
2014-03-27,acoustic,,,False
2014-03-28,acoustic,,,False
2014-03-29,acoustic,,,False
2014-03-30,acoustic,,,False
2014-03-31,acoustic,,,False
2014-04-01,acoustic,,,False
2014-04-02,acoustic,whale,zooplankton,True
2014-04-03,acoustic,,,False
2014-04-04,acoustic,whale,zooplankton,True
2014-04-05,acoustic,,,False
2014-04-06,acoustic,whale,,False
2014-04-07,acoustic,,,False
2014-04-08,acoustic,,,False
2014-04-09,acoustic,whale,zooplankton,True
2014-04-10,acoustic,,,False
2014-04-11,acoustic,,,False
2014-04-12,acoustic,whale,zooplankton,True
2014-04-13,acoustic,,,False
2014-04-14,acoustic,,,False
2014-04-15,acoustic,,,False
2014-04-16,acoustic,,,False
2014-04-17,acoustic,,,False
2014-04-18,acoustic,whale,zooplankton,True
2014-04-19,acoustic,,,False
2014-04-20,acoustic,,,False
2014-04-21,acoustic,whale,zooplankton,True
2014-04-22,acoustic,,,False
2014-04-23,acoustic,,,False
2014-04-24,acoustic,,,False
2014-04-25,acoustic,whale,zooplankton,True
2014-04-26,acoustic,,,False
2014-04-27,acoustic,,,False
2014-04-28,acoustic,,,False
2014-04-29,acoustic,,,False
2014-04-30,acoustic,,,False
2014-05-01,acoustic,,,False
2014-05-02,acoustic,whale,,False
2014-05-03,acoustic,,,False
2014-05-04,acoustic,,,False
2014-05-05,acoustic,,,False
2014-05-06,acoustic,,,False
2014-05-07,acoustic,,,False
2014-05-08,acoustic,,,False
2014-05-09,acoustic,whale,,False
2014-05-10,acoustic,,,False
2014-05-11,acoustic,,,False
2014-05-12,acoustic,,,False
2014-05-13,acoustic,,,False
2014-05-14,acoustic,,,False
2014-05-15,acoustic,,,False
2014-05-16,acoustic,,,False
2014-05-17,acoustic,,,False
2015-02-17,acoustic,,,False
2015-02-18,acoustic,whale,zooplankton,True
2015-02-19,acoustic,,,False
2015-02-20,acoustic,,,False
2015-02-21,acoustic,,,False
2015-02-22,acoustic,,,False
2015-02-23,acoustic,,,False
2015-02-24,acoustic,whale,,False
2015-02-25,acoustic,,,False
2015-02-26,acoustic,,,False
2015-02-27,acoustic,,,False
2015-02-28,acoustic,whale,,False
2015-03-01,acoustic,,,False
2015-03-02,acoustic,,,False
2015-03-03,acoustic,whale,,False
2015-03-04,acoustic,,,False
2015-03-05,acoustic,,,False
2015-03-06,acoustic,whale,,False
2015-03-07,acoustic,,,False
2015-03-08,acoustic,,,False
2015-03-09,acoustic,,,False
2015-03-10,acoustic,,,False
2015-03-11,acoustic,,,False
2015-03-12,acoustic,,,False
2015-03-13,acoustic,,,False
2015-03-14,acoustic,,,False
2015-03-15,acoustic,,,False
2015-03-16,acoustic,,,False
2015-03-17,acoustic,,,False
2015-03-18,acoustic,,,False
2015-03-19,acoustic,,,False
2015-03-20,acoustic,whale,zooplankton,True
2015-03-21,acoustic,,,False
2015-03-22,acoustic,,,False
2015-03-23,acoustic,,,False
2015-03-24,acoustic,,,False
2015-03-25,acoustic,whale,,False
2015-03-26,acoustic,,,False
2015-03-27,acoustic,,,False
2015-03-28,acoustic,,,False
2015-03-29,acoustic,,,False
2015-03-30,acoustic,,,False
2015-03-31,acoustic,whale,,False
2015-04-01,acoustic,,,False
2015-04-02,acoustic,,,False
2015-04-03,acoustic,,,False
2015-04-04,acoustic,,,False
2015-04-05,acoustic,,,False
2015-04-06,acoustic,whale,zooplankton,True
2015-04-07,acoustic,,,False
2015-04-08,acoustic,,,False
2015-04-09,acoustic,,,False
2015-04-10,acoustic,,,False
2015-04-11,acoustic,,,False
2015-04-12,acoustic,whale,,False
2015-04-13,acoustic,,,False
2015-04-14,acoustic,,,False
2015-04-15,acoustic,whale,zooplankton,True
2015-04-16,acoustic,,,False
2015-04-17,acoustic,,,False
2015-04-18,acoustic,whale,zooplankton,True
2015-04-19,acoustic,whale,,False
2015-04-20,acoustic,,,False
2015-04-21,acoustic,,,False
2015-04-22,acoustic,whale,,False
2015-04-23,acoustic,,,False
2015-04-24,acoustic,,,False
2015-04-25,acoustic,whale,,False
2015-04-26,acoustic,,,False
2015-04-27,acoustic,whale,zooplankton,True
2015-04-28,acoustic,,,False
2015-04-29,acoustic,whale,,False
2015-04-30,acoustic,,,False
2015-05-01,acoustic,,,False
2015-05-02,acoustic,,,False
2015-05-03,acoustic,,,False
2015-05-04,acoustic,whale,,False
2015-05-05,acoustic,,,False
2015-05-06,acoustic,whale,zooplankton,True
2015-05-07,acoustic,,,False
2015-05-08,acoustic,whale,zooplankton,True
2015-05-09,acoustic,,,False
2015-05-10,acoustic,,,False
2015-05-11,acoustic,whale,,False
2015-05-12,acoustic,,,False
2015-05-13,acoustic,,,False
2015-05-14,acoustic,,,False
2015-05-15,acoustic,whale,,False
2015-05-16,acoustic,,,False
2015-05-17,acoustic,,,False
2015-05-18,acoustic,,,False
2015-05-19,acoustic,,,False
2015-05-20,acoustic,,,False
2015-05-21,acoustic,,,False
2016-02-15,acoustic,,,False
2016-02-16,acoustic,,,False
2016-02-17,acoustic,whale,,False
2016-02-18,acoustic,,,False
2016-02-19,acoustic,whale,,False
2016-02-20,acoustic,,,False
2016-02-21,acoustic,whale,,False
2016-02-22,acoustic,,,False
2016-02-23,acoustic,,,False
2016-02-24,acoustic,,,False
2016-02-25,acoustic,,,False
2016-02-26,acoustic,,,False
2016-02-27,acoustic,whale,,False
2016-02-28,acoustic,,,False
2016-02-29,acoustic,,,False
2016-03-01,acoustic,whale,,False
2016-03-02,acoustic,,,False
2016-03-03,acoustic,,,False
2016-03-04,acoustic,,,False
2016-03-05,acoustic,,,False
2016-03-06,acoustic,whale,,False
2016-03-07,acoustic,,,False
2016-03-08,acoustic,whale,zooplankton,True
2016-03-09,acoustic,,,False
2016-03-10,acoustic,,,False
2016-03-11,acoustic,,,False
2016-03-12,acoustic,,,False
2016-03-13,acoustic,,,False
2016-03-14,acoustic,,,False
2016-03-15,acoustic,,,False
2016-03-16,acoustic,,,False
2016-03-17,acoustic,,,False
2016-03-18,acoustic,,,False
2016-03-19,acoustic,whale,,False
2016-03-20,acoustic,,,False
2016-03-21,acoustic,,,False
2016-03-22,acoustic,,,False
2016-03-23,acoustic,,,False
2016-03-24,acoustic,,,False
2016-03-25,acoustic,,,False
2016-03-26,acoustic,,,False
2016-03-27,acoustic,whale,,False
2016-03-28,acoustic,,,False
2016-03-29,acoustic,,,False
2016-03-30,acoustic,whale,zooplankton,True
2016-03-31,acoustic,,,False
2016-04-01,acoustic,,,False
2016-04-02,acoustic,,,False
2016-04-03,acoustic,,,False
2016-04-04,acoustic,,,False
2016-04-05,acoustic,,,False
2016-04-06,acoustic,whale,zooplankton,True
2016-04-07,acoustic,,,False
2016-04-08,acoustic,,,False
2016-04-09,acoustic,whale,zooplankton,True
2016-04-10,acoustic,,,False
2016-04-11,acoustic,,,False
2016-04-12,acoustic,,,False
2016-04-13,acoustic,whale,,False
2016-04-14,acoustic,,,False
2016-04-15,acoustic,,,False
2016-04-16,acoustic,,,False
2016-04-17,acoustic,whale,,False
2016-04-18,acoustic,whale,zooplankton,True
2016-04-19,acoustic,,,False
2016-04-20,acoustic,,,False
2016-04-21,acoustic,whale,,False
2016-04-22,acoustic,,,False
2016-04-23,acoustic,,,False
2016-04-24,acoustic,,,False
2016-04-25,acoustic,whale,zooplankton,True
2016-04-26,acoustic,,,False
2016-04-27,acoustic,whale,zooplankton,True
2016-04-28,acoustic,whale,,False
2016-04-29,acoustic,whale,zooplankton,True
2016-04-30,acoustic,,,False
2016-05-01,acoustic,,,False
2016-05-02,acoustic,,,False
2016-05-03,acoustic,,,False
2016-05-04,acoustic,,,False
2016-05-05,acoustic,,,False
2016-05-06,acoustic,whale,,False
2016-05-07,acoustic,,,False
2016-05-08,acoustic,,,False
2016-05-09,acoustic,whale,,False
2016-05-10,acoustic,,,False
2016-05-11,acoustic,,,False
2016-05-12,acoustic,,,False
2016-05-13,acoustic,,,False
2016-05-14,acoustic,,,False
2016-05-15,acoustic,,,False
2016-05-16,acoustic,,,False
2016-05-17,acoustic,,,False
2016-05-18,acoustic,,,False
2016-05-19,acoustic,,,False
2016-05-20,acoustic,,,False
2016-05-21,acoustic,,,False
2016-05-22,acoustic,,,False
2016-05-23,acoustic,,,False
2016-05-24,acoustic,,,False
2016-05-25,acoustic,,,False
2017-02-21,acoustic,,,False
2017-02-22,acoustic,,,False
2017-02-23,acoustic,,,False
2017-02-24,acoustic,whale,,False
2017-02-25,acoustic,,,False
2017-02-26,acoustic,,,False
2017-02-27,acoustic,,,False
2017-02-28,acoustic,whale,zooplankton,True
2017-03-01,acoustic,,,False
2017-03-02,acoustic,,,False
2017-03-03,acoustic,,,False
2017-03-04,acoustic,,,False
2017-03-05,acoustic,,,False
2017-03-06,acoustic,whale,,False
2017-03-07,acoustic,,,False
2017-03-08,acoustic,,,False
2017-03-09,acoustic,,,False
2017-03-10,acoustic,,,False
2017-03-11,acoustic,,,False
2017-03-12,acoustic,,,False
2017-03-13,acoustic,,,False
2017-03-14,acoustic,,,False
2017-03-15,acoustic,,,False
2017-03-16,acoustic,,,False
2017-03-17,acoustic,,,False
2017-03-18,acoustic,whale,zooplankton,True
2017-03-19,acoustic,,,False
2017-03-20,acoustic,,,False
2017-03-21,acoustic,whale,,False
2017-03-22,acoustic,,,False
2017-03-23,acoustic,,,False
2017-03-24,acoustic,,,False
2017-03-25,acoustic,,,False
2017-03-26,acoustic,whale,,False
2017-03-27,acoustic,,,False
2017-03-28,acoustic,,,False
2017-03-29,acoustic,,,False
2017-03-30,acoustic,,,False
2017-03-31,acoustic,whale,zooplankton,True
2017-04-01,acoustic,,,False
2017-04-02,acoustic,,,False
2017-04-03,acoustic,whale,zooplankton,True
2017-04-04,acoustic,,,False
2017-04-05,acoustic,,,False
2017-04-06,acoustic,,,False
2017-04-07,acoustic,,,False
2017-04-08,acoustic,,,False
2017-04-09,acoustic,whale,zooplankton,True
2017-04-10,acoustic,,,False
2017-04-11,acoustic,,,False
2017-04-12,acoustic,whale,zooplankton,True
2017-04-13,acoustic,,,False
2017-04-14,acoustic,whale,zooplankton,True
2017-04-15,acoustic,,,False
2017-04-16,acoustic,,,False
2017-04-17,acoustic,whale,,False
2017-04-18,acoustic,,zooplankton,False
2017-04-19,acoustic,,,False
2017-04-20,acoustic,,,False
2017-04-21,acoustic,,,False
2017-04-22,acoustic,,,False
2017-04-23,acoustic,whale,,False
2017-04-24,acoustic,,,False
2017-04-25,acoustic,,,False
2017-04-26,acoustic,,,False
2017-04-27,acoustic,,,False
2017-04-28,acoustic,whale,,False
2017-04-29,acoustic,,,False
2017-04-30,acoustic,whale,,False
2017-05-01,acoustic,,,False
2017-05-02,acoustic,,,False
2017-05-03,acoustic,,,False
2017-05-04,acoustic,whale,zooplankton,True
2017-05-05,acoustic,,,False
2017-05-06,acoustic,,,False
2017-05-07,acoustic,,,False
2017-05-08,acoustic,,,False
2017-05-09,acoustic,whale,zooplankton,True
2017-05-10,acoustic,,,False
2017-05-11,acoustic,,,False
2017-05-12,acoustic,,,False
2017-05-13,acoustic,,,False
2017-05-14,acoustic,,,False
2017-05-15,acoustic,,,False
2017-05-16,acoustic,,,False
2018-02-13,acoustic,whale,,False
2018-02-14,acoustic,,,False
2018-02-15,acoustic,,,False
2018-02-16,acoustic,,,False
2018-02-17,acoustic,whale,,False
2018-02-18,acoustic,,,False
2018-02-19,acoustic,,,False
2018-02-20,acoustic,,,False
2018-02-21,acoustic,,,False
2018-02-22,acoustic,,,False
2018-02-23,acoustic,,,False
2018-02-24,acoustic,whale,zooplankton,True
2018-02-25,acoustic,,,False
2018-02-26,acoustic,,,False
2018-02-27,acoustic,whale,,False
2018-02-28,acoustic,,,False
2018-03-01,acoustic,,,False
2018-03-02,acoustic,,,False
2018-03-03,acoustic,,,False
2018-03-04,acoustic,,,False
2018-03-05,acoustic,,,False
2018-03-06,acoustic,,,False
2018-03-07,acoustic,,,False
2018-03-08,acoustic,,,False
2018-03-09,acoustic,,,False
2018-03-10,acoustic,,,False
2018-03-11,acoustic,,,False
2018-03-12,acoustic,whale,zooplankton,True
2018-03-13,acoustic,,,False
2018-03-14,acoustic,,,False
2018-03-15,acoustic,,,False
2018-03-16,acoustic,,,False
2018-03-17,acoustic,,,False
2018-03-18,acoustic,,,False
2018-03-19,acoustic,,,False
2018-03-20,acoustic,whale,zooplankton,True
2018-03-21,acoustic,,,False
2018-03-22,acoustic,,,False
2018-03-23,acoustic,,,False
2018-03-24,acoustic,,,False
2018-03-25,acoustic,,,False
2018-03-26,acoustic,,,False
2018-03-27,acoustic,,,False
2018-03-28,acoustic,whale,zooplankton,True
2018-03-29,acoustic,,,False
2018-03-30,acoustic,,,False
2018-03-31,acoustic,,,False
2018-04-01,acoustic,,,False
2018-04-02,acoustic,,,False
2018-04-03,acoustic,whale,,False
2018-04-04,acoustic,,,False
2018-04-05,acoustic,,,False
2018-04-06,acoustic,,,False
2018-04-07,acoustic,whale,,False
2018-04-08,acoustic,,,False
2018-04-09,acoustic,,,False
2018-04-10,acoustic,whale,,False
2018-04-11,acoustic,whale,zooplankton,True
2018-04-12,acoustic,,,False
2018-04-13,acoustic,whale,zooplankton,True
2018-04-14,acoustic,,,False
2018-04-15,acoustic,,,False
2018-04-16,acoustic,,,False
2018-04-17,acoustic,,,False
2018-04-18,acoustic,,,False
2018-04-19,acoustic,,,False
2018-04-20,acoustic,,,False
2018-04-21,acoustic,whale,,False
2018-04-22,acoustic,whale,zooplankton,True
2018-04-23,acoustic,,,False
2018-04-24,acoustic,,,False
2018-04-25,acoustic,,,False
2018-04-26,acoustic,,,False
2018-04-27,acoustic,whale,zooplankton,True
2018-04-28,acoustic,,,False
2018-04-29,acoustic,,,False
2018-04-30,acoustic,whale,zooplankton,True
2018-05-01,acoustic,,,False
2018-05-02,acoustic,,,False
2018-05-03,acoustic,,,False
2018-05-04,acoustic,whale,,False
2018-05-05,acoustic,,,False
2018-05-06,acoustic,whale,zooplankton,True
2018-05-07,acoustic,,,False
2018-05-08,acoustic,,,False
2018-05-09,acoustic,whale,,False
2018-05-10,acoustic,,,False
2018-05-11,acoustic,,,False
2018-05-12,acoustic,,,False
2018-05-13,acoustic,,,False
2018-05-14,acoustic,whale,,False
2018-05-15,acoustic,,,False
2018-05-16,acoustic,,,False
2018-05-17,acoustic,,,False
2018-05-18,acoustic,,,False
2018-05-19,acoustic,,,False
2018-05-20,acoustic,,,False
2018-05-21,acoustic,,,False
2018-05-22,acoustic,,,False
2018-05-23,acoustic,,,False
2018-05-24,acoustic,,,False
2018-05-25,acoustic,,,False
2018-05-26,acoustic,,,False
2018-05-27,acoustic,,,False
2018-05-28,acoustic,,,False
2018-05-29,acoustic,,,False
2018-05-30,acoustic,,,False
