,between_days,c_recordOnDays
1129,2014-02-03,
1130,2014-02-04,
1131,2014-02-05,
1132,2014-02-06,
1133,2014-02-07,172
1134,2014-02-08,172
1135,2014-02-09,172
1136,2014-02-10,172
1137,2014-02-11,172
1138,2014-02-12,172
1139,2014-02-13,172
1140,2014-02-14,172
1141,2014-02-15,172
1142,2014-02-16,172
1143,2014-02-17,172
1144,2014-02-18,172
1145,2014-02-19,172
1146,2014-02-20,172
1147,2014-02-21,172
1148,2014-02-22,172
1149,2014-02-23,172
1150,2014-02-24,172
1151,2014-02-25,172
1152,2014-02-26,172
1153,2014-02-27,172
1154,2014-02-28,172
1155,2014-03-01,172
1156,2014-03-02,172
1157,2014-03-03,172
1158,2014-03-04,172
1159,2014-03-05,172
1160,2014-03-06,172
1161,2014-03-07,172
1162,2014-03-08,172
1163,2014-03-09,172
1164,2014-03-10,172
1165,2014-03-11,172
1166,2014-03-12,172
1167,2014-03-13,172
1168,2014-03-14,172
1169,2014-03-15,172
1170,2014-03-16,172
1171,2014-03-17,172
1172,2014-03-18,172
1173,2014-03-19,172
1174,2014-03-20,172
1175,2014-03-21,172
1176,2014-03-22,172
1177,2014-03-23,172
1178,2014-03-24,172
1179,2014-03-25,172
1180,2014-03-26,172
1181,2014-03-27,172
1182,2014-03-28,172
1183,2014-03-29,172
1184,2014-03-30,172
1185,2014-03-31,172
1186,2014-04-01,172
1187,2014-04-02,172
1188,2014-04-03,172
1189,2014-04-04,172
1190,2014-04-05,172
1191,2014-04-06,172
1192,2014-04-07,172
1193,2014-04-08,172
1194,2014-04-09,172
1195,2014-04-10,172
1196,2014-04-11,172
1197,2014-04-12,172
1198,2014-04-13,172
1199,2014-04-14,172
1200,2014-04-15,172
1201,2014-04-16,172
1202,2014-04-17,172
1203,2014-04-18,172
1204,2014-04-19,172
1205,2014-04-20,172
1206,2014-04-21,172
1207,2014-04-22,172
1208,2014-04-23,172
1209,2014-04-24,172
1210,2014-04-25,172
1211,2014-04-26,172
1212,2014-04-27,172
1213,2014-04-28,172
1214,2014-04-29,172
1215,2014-04-30,172
1216,2014-05-01,172
1217,2014-05-02,172
1218,2014-05-03,172
1219,2014-05-04,172
1220,2014-05-05,172
1221,2014-05-06,172
1222,2014-05-07,172
1223,2014-05-08,172
1224,2014-05-09,172
1225,2014-05-10,172
1226,2014-05-11,172
1227,2014-05-12,172
1228,2014-05-13,172
1229,2014-05-14,172
1230,2014-05-15,172
1231,2014-05-16,172
1232,2014-05-17,172
1233,2014-05-18,
1234,2014-05-19,
1235,2014-05-20,
1236,2014-05-21,
1237,2014-05-22,
1238,2014-05-23,
1239,2014-05-24,
1240,2014-05-25,
1241,2014-05-26,
1242,2014-05-27,
1243,2014-05-28,
1244,2014-05-29,
1245,2014-05-30,
1246,2014-05-31,
1461,2015-01-01,
1462,2015-01-02,
1463,2015-01-03,
