,Date,DataType,sightings,Overlap
194,2010-03-25,Acoustic,,AcousticWhale
195,2010-03-26,Acoustic,,Acoustic
196,2010-03-27,Acoustic,,Acoustic
197,2010-03-28,Acoustic,,AcousticWhale
198,2010-03-29,Acoustic,,Acoustic
199,2010-03-30,Acoustic,,Acoustic
200,2010-03-31,Acoustic,,Acoustic
201,2010-04-01,Acoustic,,AcousticWhale
202,2010-04-02,Acoustic,,AcousticWhale
203,2010-04-03,Acoustic,,AcousticWhale
204,2010-04-04,Acoustic,,AcousticWhale
205,2010-04-05,Acoustic,,AcousticWhale
206,2010-04-06,Acoustic,,AcousticWhale
207,2010-04-07,Acoustic,,Acoustic
208,2010-04-08,Acoustic,,AcousticWhale
209,2010-04-09,Acoustic,,Acoustic
210,2010-04-10,Acoustic,,AcousticWhale
211,2010-04-11,Acoustic,,Acoustic
212,2010-04-12,Acoustic,,AcousticWhale
213,2010-04-13,Acoustic,,AcousticWhale
214,2010-04-14,Acoustic,,AcousticWhale
215,2010-04-15,Acoustic,,Acoustic
216,2010-04-16,Acoustic,,Acoustic
217,2010-04-17,Acoustic,,Acoustic
218,2010-04-18,Acoustic,,AcousticWhale
219,2010-04-19,Acoustic,,Acoustic
220,2010-04-20,Acoustic,,AcousticWhale
221,2010-04-21,Acoustic,,Acoustic
222,2010-04-22,Acoustic,,Acoustic
223,2010-04-23,Acoustic,,Acoustic
224,2010-04-24,Acoustic,,Acoustic
225,2010-04-25,Acoustic,,Acoustic
226,2010-04-26,Acoustic,,Acoustic
227,2010-04-27,Acoustic,,Acoustic
228,2010-04-28,Acoustic,,Acoustic
229,2010-04-29,Acoustic,,Acoustic
230,2010-04-30,Acoustic,,Acoustic
231,2010-05-01,Acoustic,,Acoustic
232,2010-05-02,Acoustic,,Acoustic
233,2010-05-03,Acoustic,,Acoustic
234,2010-05-04,Acoustic,,Acoustic
235,2010-05-05,Acoustic,,Acoustic
236,2011-02-17,Acoustic,,AcousticWhaleZooplankton
237,2011-02-18,Acoustic,,Acoustic
238,2011-02-19,Acoustic,,Acoustic
239,2011-02-20,Acoustic,,Acoustic
240,2011-02-21,Acoustic,,Acoustic
241,2011-02-22,Acoustic,,Acoustic
242,2011-02-23,Acoustic,,Acoustic
243,2011-02-24,Acoustic,,AcousticWhaleZooplankton
244,2011-02-25,Acoustic,,Acoustic
245,2011-02-26,Acoustic,,Acoustic
246,2011-02-27,Acoustic,,Acoustic
247,2011-02-28,Acoustic,,Acoustic
248,2011-03-01,Acoustic,,Acoustic
249,2011-03-02,Acoustic,,Acoustic
250,2011-03-03,Acoustic,,Acoustic
251,2011-03-04,Acoustic,,AcousticWhale
252,2011-03-05,Acoustic,,Acoustic
253,2011-03-06,Acoustic,,Acoustic
254,2011-03-07,Acoustic,,Acoustic
255,2011-03-08,Acoustic,,AcousticWhale
256,2011-03-09,Acoustic,,Acoustic
257,2011-03-10,Acoustic,,Acoustic
258,2011-03-11,Acoustic,,Acoustic
259,2011-03-12,Acoustic,,Acoustic
260,2011-03-13,Acoustic,,AcousticWhale
