Date,DataType,sightings
2014-04-25,Whale_CCS,0
2014-04-25,Whale_NARWC,8
2014-05-02,Whale_CCS,0
2014-05-09,Whale_CCS,0
2014-12-22,Whale_NARWC,7
2015-01-11,Whale_NARWC,5
2015-01-21,Whale_NARWC,1
2015-01-23,Whale_NARWC,4
2015-02-12,Whale_NARWC,17
2015-02-18,Whale_CCS,0
2015-02-18,Whale_NARWC,6
2015-02-24,Whale_CCS,0
2015-02-24,Whale_NARWC,10
2015-02-28,Whale_CCS,0
2015-02-28,Whale_NARWC,6
2015-03-03,Whale_CCS,0
2015-03-03,Whale_NARWC,7
2015-03-06,Whale_CCS,0
2015-03-06,Whale_NARWC,7
2015-03-07,Whale_NARWC,1
2015-03-10,Whale_NARWC,4
2015-03-20,Whale_CCS,0
2015-03-20,Whale_NARWC,1
2015-03-25,Whale_CCS,0
2015-03-31,Whale_CCS,0
2015-04-06,Whale_CCS,0
2015-04-06,Whale_NARWC,29
2015-04-12,Whale_CCS,0
2015-04-12,Whale_NARWC,4
2015-04-15,Whale_CCS,0
2015-04-15,Whale_NARWC,14
2015-04-16,Whale_NARWC,15
2015-04-18,Whale_CCS,0
2015-04-18,Whale_NARWC,62
2015-04-19,Whale_CCS,0
2015-04-19,Whale_NARWC,33
2015-04-21,Whale_NARWC,5
2015-04-22,Whale_CCS,0
2015-04-22,Whale_NARWC,28
2015-04-25,Whale_CCS,0
2015-04-25,Whale_NARWC,56
2015-04-26,Whale_NARWC,58
2015-04-27,Whale_CCS,0
2015-04-27,Whale_NARWC,77
2015-04-29,Whale_CCS,0
2015-04-29,Whale_NARWC,80
2015-04-30,Whale_NARWC,72
2015-05-01,Whale_NARWC,9
2015-05-02,Whale_NARWC,123
2015-05-03,Whale_NARWC,7
2015-05-04,Whale_CCS,0
2015-05-04,Whale_NARWC,61
2015-05-06,Whale_CCS,0
2015-05-06,Whale_NARWC,91
2015-05-07,Whale_NARWC,6
2015-05-08,Whale_CCS,0
2015-05-08,Whale_NARWC,54
2015-05-09,Whale_NARWC,6
2015-05-11,Whale_CCS,0
2015-05-11,Whale_NARWC,13
2015-05-15,Whale_CCS,0
2015-07-23,Whale_NARWC,2
2015-08-29,Whale_NARWC,1
2015-08-30,Whale_NARWC,1
2015-09-02,Whale_NARWC,1
2016-01-07,Whale_NARWC,2
2016-01-15,Whale_NARWC,3
2016-01-30,Whale_NARWC,3
2016-02-07,Whale_NARWC,2
2016-02-12,Whale_NARWC,2
2016-02-17,Whale_CCS,0
2016-02-17,Whale_NARWC,1
2016-02-19,Whale_CCS,0
2016-02-19,Whale_NARWC,6
2016-02-21,Whale_CCS,0
2016-02-21,Whale_NARWC,8
2016-02-27,Whale_CCS,0
2016-02-27,Whale_NARWC,9
2016-03-01,Whale_CCS,0
2016-03-01,Whale_NARWC,17
2016-03-04,Whale_NARWC,6
2016-03-06,Whale_CCS,0
2016-03-06,Whale_NARWC,21
2016-03-08,Whale_CCS,0
2016-03-08,Whale_NARWC,53
2016-03-10,Whale_NARWC,14
2016-03-17,Whale_NARWC,10
2016-03-19,Whale_CCS,0
2016-03-19,Whale_NARWC,7
2016-03-23,Whale_NARWC,35
2016-03-27,Whale_CCS,0
2016-03-27,Whale_NARWC,146
2016-03-30,Whale_CCS,0
2016-03-30,Whale_NARWC,103
2016-04-01,Whale_NARWC,2
2016-04-02,Whale_NARWC,29
2016-04-06,Whale_CCS,0
2016-04-06,Whale_NARWC,62
2016-04-09,Whale_CCS,0
2016-04-09,Whale_NARWC,46
2016-04-13,Whale_CCS,0
2016-04-13,Whale_NARWC,33
2016-04-17,Whale_CCS,0
2016-04-17,Whale_NARWC,19
2016-04-18,Whale_CCS,0
2016-04-18,Whale_NARWC,26
2016-04-19,Whale_NARWC,4
2016-04-21,Whale_CCS,0
2016-04-21,Whale_NARWC,25
2016-04-22,Whale_NARWC,21
2016-04-25,Whale_CCS,0
2016-04-25,Whale_NARWC,40
2016-04-27,Whale_CCS,0
2016-04-27,Whale_NARWC,16
2016-04-28,Whale_CCS,0
2016-04-28,Whale_NARWC,10
2016-04-29,Whale_CCS,0
2016-04-29,Whale_NARWC,6
2016-04-30,Whale_NARWC,2
2016-05-06,Whale_CCS,0
2016-05-09,Whale_CCS,0
2017-01-17,Whale_NARWC,2
2017-01-19,Whale_NARWC,7
2017-01-30,Whale_NARWC,11
2017-02-03,Whale_NARWC,4
2017-02-14,Whale_NARWC,15
2017-02-19,Whale_NARWC,21
2017-02-21,Whale_NARWC,8
2017-02-23,Whale_NARWC,2
2017-02-24,Whale_CCS,0
2017-02-24,Whale_NARWC,6
2017-02-28,Whale_CCS,0
2017-02-28,Whale_NARWC,48
2017-03-06,Whale_CCS,0
2017-03-06,Whale_NARWC,18
2017-03-14,Whale_NARWC,2
2017-03-18,Whale_CCS,0
2017-03-18,Whale_NARWC,23
2017-03-21,Whale_CCS,0
2017-03-21,Whale_NARWC,54
2017-03-25,Whale_NARWC,18
2017-03-26,Whale_CCS,0
2017-03-28,Whale_NARWC,29
2017-03-31,Whale_CCS,0
2017-03-31,Whale_NARWC,65
2017-04-03,Whale_CCS,0
2017-04-03,Whale_NARWC,108
2017-04-09,Whale_CCS,0
2017-04-09,Whale_NARWC,183
2017-04-11,Whale_NARWC,4
2017-04-12,Whale_CCS,0
2017-04-12,Whale_NARWC,179
2017-04-13,Whale_NARWC,5
2017-04-14,Whale_CCS,0
2017-04-14,Whale_NARWC,262
2017-04-15,Whale_NARWC,6
2017-04-17,Whale_CCS,0
2017-04-17,Whale_NARWC,198
2017-04-18,Whale_NARWC,13
2017-04-19,Whale_NARWC,13
2017-04-20,Whale_NARWC,60
2017-04-23,Whale_CCS,0
2017-04-23,Whale_NARWC,123
2017-04-24,Whale_NARWC,74
2017-04-27,Whale_NARWC,9
2017-04-28,Whale_CCS,0
2017-04-30,Whale_CCS,0
2017-04-30,Whale_NARWC,23
2017-05-01,Whale_NARWC,12
2017-05-04,Whale_CCS,0
2017-05-04,Whale_NARWC,12
2017-05-09,Whale_CCS,0
2017-12-24,Whale_NARWC,2
2018-01-16,Whale_NARWC,16
2018-01-19,Whale_NARWC,10
2018-02-06,Whale_NARWC,19
2018-02-13,Whale_CCS,0
2018-02-13,Whale_NARWC,11
2018-02-15,Whale_NARWC,2
2018-02-17,Whale_CCS,0
2018-02-17,Whale_NARWC,10
2018-02-24,Whale_CCS,0
2018-02-24,Whale_NARWC,73
2018-02-27,Whale_CCS,0
2018-02-27,Whale_NARWC,48
2018-03-01,Whale_NARWC,33
2018-03-12,Whale_CCS,0
2018-03-12,Whale_NARWC,31
2018-03-20,Whale_CCS,0
2018-03-20,Whale_NARWC,32
2018-03-24,Whale_NARWC,1
2018-03-28,Whale_CCS,0
2018-03-28,Whale_NARWC,59
2018-03-29,Whale_NARWC,55
2018-04-02,Whale_NARWC,1
2018-04-03,Whale_CCS,0
2018-04-03,Whale_NARWC,3
2018-04-07,Whale_CCS,0
2018-04-10,Whale_CCS,0
2018-04-10,Whale_NARWC,7
2018-04-11,Whale_CCS,0
2018-04-11,Whale_NARWC,14
2018-04-13,Whale_CCS,0
2018-04-13,Whale_NARWC,13
2018-04-21,Whale_CCS,0
2018-04-21,Whale_NARWC,43
2018-04-22,Whale_CCS,0
2018-04-22,Whale_NARWC,105
2018-04-23,Whale_NARWC,40
2018-04-26,Whale_NARWC,2
2018-04-27,Whale_CCS,0
2018-04-27,Whale_NARWC,172
2018-04-28,Whale_NARWC,53
